компьютер | махшЭв ‫מחשב| ‬
событие | ируА | אירוע  
обработка | ибУд | עיבוד  
база данных | маагАр нетонИм | מאגר נתונים  
запрос | шеэлА | שאילתה  
таблица | тавлА | טבלה  
строка (в таблице) | шурА | שורה  
столбец | амудА | עמודה  
первичный ключ | мафтах рошИ | מפתח ראשי  
внешний ключ | мафтах зар | מפתח זר  
индекс | индЕкс | אינדקס  
связь | кЕшер | קשר  
нормализация | нирмУль | נירמול  
репликация | шикпУль | שכפול  
резервное копирование | гивуй | גיבוי
гибкий | гамиш | גמיש
вакансия | мисрА | משרה  
рекрутер | рекрутОр | רקרוטר  
резюме | корОт хаИм | קורות חיים  
портфолио | тик аводОт | תיק עבודות  
собеседование | рэйон | ראיון  
интервью | рэйон | ראיון  
работодатель | маавИд | מעביד  
навыки | кишурИм | כישורים  
опыт работы | нисайон аводА | ניסיון עבודה  
образование | хинУх | חינוך  
университет | университА | אוניברסיטה  
колледж | михлАла | מכללה  
сертификат | ишУр | אישור  
владение | хазака | חזקה  
команда | цЕвет | צוות  
проект | проЭкт | פרויקט  
заработная плата | маскОрэт | משכורת  
премия | бОнус | בונוס  
договор | хозЭ | חוזה  
гибкий график | лУах зманИм гамИш | לוח זמנים גמיש  
удаленная работа | аводА мерАхок | עבודה מרחוק  
фриланс | фриланс | פרילנס  
полная занятость | мисрА мелА | משרה מלאה  
частичная занятость | мисрА хелкИт | משרה חלקית  
продвижение | кидУм | קידום  
повышение | алаЯ | עלייה  
переработка | овЕр-зман | עובר-זמן  
отпуск | хОфеш | חופש  
больничный | йемЕй махалА | ימי מחלה  
пенсия | пЭнсия | פנסיה  
страхование | битУах | ביטוח  
наставник | мЕнтор | מנטור  
стажировка | стаж | סטאז  
тестовое задание | мивхАн маси | מבחן מעשי  
профессиональный рост | гдилА професионалИт | גדילה מקצועית  
дедлайн | мУад ахарОн | מועד אחרון  
инструменты | келИм | כלים  
методологии | методологИйот | מתודולוגיות  
рекомендация | амлацА | המלצה  
клиент | лакоАх | לקוח  
поддержка | тмИха | תמיכה  
аналитика | аналитИка | אנליטיקה  
бюджет | такцИв | תקציב  
достижение | хасагА | הישג  
планирование | тикун | תכנון  
результаты | тоцАот | תוצאות  
презентация | мацЕгет | מצגת  
рекрутер | рекрутОр | רקרוטר
резюме | корОт хаИм | קורות חיים
портфолио | тик аводОт | תיק עבודות
собеседование | рэйон | ראיון
интервью | рэйон | ראיון
работодатель | маавИд | מעביד
навыки | кишурИм | כישורים
опыт работы | нисайон аводА | ניסיון עבודה
образование | хинУх | חינוך
университет | университА | אוניברסיטה
колледж | михлАла | מכללה
сертификат | ишУр | אישור
владение | хазака | חזקה
команда | цЕвет | צוות
проект | проЭкт | פרויקט
заработная плата | маскОрэт | משכורת
премия | бОнус | בונוס
договор | хозЭ | חוזה
гибкий график | лУах зманИм гамИш | לוח זמנים גמיש
удаленная работа | аводА мерАхок | עבודה מרחוק
фриланс | фрилАнс | פרילנס
полная занятость | мисрА мелА | משרה מלאה
частичная занятость | мисрА хелкИт | משרה חלקית
продвижение | кидУм | קידום
повышение | алаЯ | עלייה
переработка | овЕр-зман | עובר-זמן
отпуск | хОфеш | חופש
больничный | йемЕй махалА | ימי מחלה
пенсия | пЭнсия | פנסיה
страхование | битУах | ביטוח
наставник | мЕнтор | מנטור
стажировка | стаж | סטאז
тестовое задание | мивхАн маси | מבחן מעשי
профессиональный рост | гдилА професионалИт | גדילה מקצועית
дедлайн | мУад ахарОн | מועד אחרון
инструменты | келИм | כלים
методологии | методологИйот | מתודולוגיות
рекомендация | амлацА | המלצה
клиент | лакАх | לקוח
поддержка | тмИха | תמיכה
аналитика | аналитИка | אנליטיקה
бюджет | такцИв | תקציב
достижение | хасагА | הישג
планирование | тикун | תכנון
результаты | тоцАот | תוצאות
презентация | мацЕгет | מצגת
рейтинг | рейтИнг | דירוג
точность | тОчность | דיוק
производить | леицаЕр | לייצר
опыт | хиювИт | חוות
начиная с момента | ахель мирэгА | החל מרגע
обращение | апнИя | הפנייה
нам известно | йаду лАну | ידוע לנו
усилие | маамАц | מאמץ
подготовка | аханА | הכנה
базовая | есудИт | יסודית
максимизировать | лемаксИм | למקסם
подлинность | атентийОт | אותנטיות
последовательный | коцнАтим | קוהרנטיים
поведение | итнагут | התנהגות
отзыв | машов | משוב
склонность | нэтия | נטייה
внимательность | итхашвут | הלחשבות
определить | лецаОт | לצעות
следующий | океВ | עוקב
нуждающийся | цОрэх | זקוק
ресурсы | машАбим | משאבים
влияние | машпИа | משפיע
функция | атифкуд | התפקוד
стойкость | эхулАт | עמידות
производить | леицЕр | לייצר
улучшать | леиштапЭр | להשתפר
отчет | дОх | דוח  зарплата | сахар | שכר
